Unnamed: 0,_id,iterationName,gameid,time,assignmentId,leftTarget,rightTarget,trialNum,turnNum,repNum,individualPracticeAttempts,quizAttempts,content,timeElapsedInTurn,timeElapsedInTrial,turnStartTime,trialStartTime,eventType,practice
0,5f61508baa4f2b137cbb876e,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213131766.0,undefined,vertical,horizontal,,0,practice,0,1,"Vertical on the third row left
",34084,34084,1600213110089,1600213110089,chatMessage,True
1,5f6150ccaa4f2b137cbb8772,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213196819.0,undefined,vertical,horizontal,,2,practice,0,1,horizontal block on the right between the red line,31519,99137,1600213177707,1600213110089,chatMessage,True
2,5f6150feaa4f2b137cbb8775,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213246863.0,undefined,L,C,0.0,0,0,0,1,Horizantal block between red lines on the left ,40547,40547,1600213218722,1600213218722,chatMessage,False
3,5f615144aa4f2b137cbb8783,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213316374.0,undefined,L,C,0.0,2,0,0,1,"horizantal on red line on right 
2 vertical blocks on top left",65129,110059,1600213263652,1600213218722,chatMessage,False
4,5f615195aa4f2b137cbb87a3,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213397292.0,undefined,L,C,0.0,4,0,0,1,On the right horizontal block place two vertical blocks on the left and add one horizontal block,57611,190966,1600213352077,1600213218722,chatMessage,False
5,5f6151e8aa4f2b137cbb87c1,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213480303.0,undefined,L,C,0.0,6,0,0,1,"on the left add a horizontal piece at the bottom messed up the instructions on that one :(
 ",56414,273985,1600213436293,1600213218722,chatMessage,False
6,5f615240aa4f2b137cbb87e1,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213568593.0,undefined,L,C,0.0,8,0,0,1,left column add a horizontal piece at the bottom on the right ,46817,362274,1600213534179,1600213218722,chatMessage,False
7,5f615282aa4f2b137cbb880a,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213634646.0,undefined,L,Pi,1.0,0,0,0,1,Starting on the left side add two horizontal pieces on each side of the red line ,44317,44317,1600213602728,1600213602728,chatMessage,False
8,5f6152e5aa4f2b137cbb882e,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213733533.0,undefined,L,Pi,1.0,2,0,0,1,add two vertical blocks to the second row ,82866,143205,1600213663067,1600213602728,chatMessage,False
9,5f615349aa4f2b137cbb8867,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213833768.0,undefined,L,Pi,1.0,4,0,0,1,new structure on the right add a vertical piece 2 spaces away from the red line each side ,84009,243425,1600213762144,1600213602728,chatMessage,False
10,5f615379aa4f2b137cbb8888,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213881119.0,undefined,L,Pi,1.0,6,0,0,1,connect at top with horizontal pieces,27543,290790,1600213865975,1600213602728,chatMessage,False
11,5f6153aaaa4f2b137cbb88b6,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213930047.0,undefined,C,Pi,2.0,0,0,0,1,on the left one horizontal piece between red lines ,25494,25494,1600213916949,1600213916949,chatMessage,False
12,5f6153d8aa4f2b137cbb88dc,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600213976428.0,undefined,C,Pi,2.0,2,0,0,1,2 vertical pieces on top left ,38790,71879,1600213950038,1600213916949,chatMessage,False
13,5f6153faaa4f2b137cbb88f2,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214010775.0,undefined,C,Pi,2.0,4,0,0,1,horizontal piece on top of vertical pieces like the bottom,26474,106225,1600213996700,1600213916949,chatMessage,False
14,5f61543caa4f2b137cbb8928,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214076828.0,undefined,C,Pi,2.0,6,0,0,1,on the right vertical piece one space away from red line on each side like last round,59576,172278,1600214029651,1600213916949,chatMessage,False
15,5f615456aa4f2b137cbb8944,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214102485.0,undefined,C,Pi,2.0,8,0,0,1,then connect with horizontal pieces,10761,197933,1600214104121,1600213916949,chatMessage,False
16,5f615478aa4f2b137cbb8960,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214136817.0,undefined,C,L,3.0,0,1,0,1,on left side one horizontal piece between red line,22531,22531,1600214126685,1600214126685,chatMessage,False
17,5f6154a0aa4f2b137cbb897b,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214176581.0,undefined,C,L,3.0,2,1,0,1,2 vertical pieces on top left like last round ,34654,62296,1600214154327,1600214126685,chatMessage,False
18,5f6154b8aa4f2b137cbb8990,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214200719.0,undefined,C,L,3.0,4,1,0,1,Horizontal piece on the top like the bottom,14060,86434,1600214199059,1600214126685,chatMessage,False
19,5f6154dcaa4f2b137cbb89aa,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214236594.0,undefined,C,L,3.0,6,1,0,1,For the right Horizontal piece on each side of the red line ,29278,122308,1600214219715,1600214126685,chatMessage,False
20,5f6154fbaa4f2b137cbb89d1,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214267311.0,undefined,C,L,3.0,8,1,0,1,2 vertical lines at the end on the left ,21296,153025,1600214258414,1600214126685,chatMessage,False
21,5f615540aa4f2b137cbb8a10,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214336225.0,undefined,Pi,L,4.0,0,1,0,1,For the right is a vertical piece one spot away from the red line on each side,46594,46594,1600214302027,1600214302027,chatMessage,False
22,5f615588aa4f2b137cbb8a5a,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214408960.0,undefined,Pi,L,4.0,2,1,0,1,add a horizontal piece in between,60098,119329,1600214361258,1600214302027,chatMessage,False
23,5f6155a9aa4f2b137cbb8a7a,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214441340.0,undefined,Pi,L,4.0,4,1,0,1,add one more vertical piece on the left,27566,151661,1600214426122,1600214302027,chatMessage,False
24,5f6155ebaa4f2b137cbb8aa7,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214507591.0,undefined,Pi,L,4.0,6,1,0,1,For the left is a vertical piece one spot away on each side,50927,217954,1600214469054,1600214302027,chatMessage,False
25,5f61561aaa4f2b137cbb8ad6,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214554936.0,undefined,Pi,L,4.0,8,1,0,1,connect at the top with horizontal piece ,16118,265303,1600214551212,1600214302027,chatMessage,False
26,5f615640aa4f2b137cbb8aff,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214592270.0,undefined,Pi,C,5.0,0,1,0,1,The left is same as the last round ,20043,20043,1600214584620,1600214584620,chatMessage,False
27,5f615656aa4f2b137cbb8b0c,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214614419.0,undefined,Pi,C,5.0,2,1,0,1,connect at the top,14509,42193,1600214612304,1600214584620,chatMessage,False
28,5f61567baa4f2b137cbb8b27,pilot_class_test,7576-795391a2-2c6a-4ba8-b03f-6eded7d951d1,1600214651175.0,undefined,Pi,C,5.0,4,1,0,1,for the right is one horizontal piece in between red line,31166,78947,1600214632401,1600214584620,chatMessage,False
