,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
0,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,0,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,julia,2,two blue,0.0,0,0,two blue blocks on left and right side of left right line,two blue,,L,Pi,L_Pi,1
1,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,0,e5b3a67b-aa0e-563e-efe1-633cb87c6dd3,justin,2,two blue blocks,0.0,0,0,two blue blocks on left and right side of left right line,two blue blocks,,L,Pi,L_Pi,1
2,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,2,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,julia,2,two red,0.0,0,1,two red block on top of left blue block just placed down,two red,,L,Pi,L_Pi,1
3,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,2,abbd2fe0-e095-bbfd-4c26-52d8b6eaf241,justin,2,two red block,0.0,0,1,two red block on top of left blue block just placed down,two red block,,L,Pi,L_Pi,1
4,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,4,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,julia,2,two red,0.0,0,2,two red block one space apart on right line,two red,,L,Pi,L_Pi,1
5,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,4,d39dd7ca-1fde-56c1-9d41-a10b16b3d17d,justin,2,two red block,0.0,0,2,two red block one space apart on right line,two red block,,L,Pi,L_Pi,1
6,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,6,9f118a42-9cd3-a795-5edd-9aae7f104dcf,julia,1,blue,0.0,0,3,one blue block on top red block,blue,,L,Pi,L_Pi,1
7,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,6,9f118a42-9cd3-a795-5edd-9aae7f104dcf,justin,1,one blue,0.0,0,3,one blue block on top red block,one blue,,L,Pi,L_Pi,1
8,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,8,dc786e74-3ae7-ab54-169e-98cea7713b3c,julia,1,red,0.0,0,4,"on left red line, on more red block on top of left red block",red,,L,Pi,L_Pi,1
9,0110-5784fec9-109a-4d7a-a343-4820f4d42144,0.0,8,dc786e74-3ae7-ab54-169e-98cea7713b3c,justin,1,red block,0.0,0,4,"on left red line, on more red block on top of left red block",red block,,L,Pi,L_Pi,1
